ID bài đăng,Giá (VND),Giá hiển thị,Giá/m²,Diện tích đất,Đơn vị diện tích,Số phòng ngủ,Số phòng vệ sinh,Loại hình nhà,Đặc điểm nhà/đất,Chiều dài,Chiều ngang,Nhà mặt tiền / ngõ,Giấy tờ pháp lý,Tỉnh / Thành phố,Quận / Huyện,Phường / Xã,Tên đường,Vị trí GPS,Địa chỉ đầy đủ
128453551,31000000000,31 tỷ,387.5,80,m²,11,7,3,[2],16,5,False,1,Hà Nội,Quận Nam Từ Liêm,Phường Phú Đô,Phố Phú Đô,"21.00882,105.76593","99, Phố Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội"
128503257,11000000000,11 tỷ,244.44444,45,m²,3,4,3,[2],11,4,True,1,Hà Nội,Quận Long Biên,Phường Long Biên,Đường Cổ Linh,"21.031935,105.87937","Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội"
128552996,6280000000,"6,28 tỷ",261.66666,24,m²,3,,3,[],,3,True,1,Hà Nội,Quận Hoàng Mai,Phường Mai Động,Đường Tam Trinh,"20.992,105.86299","Đường Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội"
128972188,8300000000,"8,3 tỷ",70.220085,118.1998,m²,3,2,,[],,,,6,Hà Nội,Quận Hà Đông,Phường Phú La,Phú La,"20.95974,105.76432","Phú La, Phường Phú La, Quận Hà Đông, Hà Nội"
128995718,10200000000,"10,2 tỷ",255,40,m²,6,3,3,[2],,,False,1,Hà Nội,Quận Hoàng Mai,Phường Tương Mai,Phố Nguyễn An Ninh,"20.990124,105.845245","Phố Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
128997411,47480000000,"47,48 tỷ",608.71796,78,m²,4,6,1,[],11,7.8,False,1,Hà Nội,Quận Đống Đa,Phường Trung Liệt,Phố Thái Hà,"21.00932,105.82418","Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
128997436,16800000000,"16,8 tỷ",323.07693,52,m²,4,,3,[],,,False,1,Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,Phố Lò Đúc,"21.017374,105.855576","Phố Lò Đúc, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội"
128997536,9800000000,"9,8 tỷ",227.90698,43,m²,5,4,3,[3],,3.7999,False,1,Hà Nội,Quận Hai Bà Trưng,Phường Quỳnh Lôi,Phố Minh Khai,"20.996061,105.86194","Phố Minh Khai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội"
128997903,7300000000,"7,3 tỷ",162.22223,45,m²,3,,3,[],,,False,1,Hà Nội,Quận Đống Đa,Phường Thịnh Quang,Phố Thái Thịnh,"21.010923,105.81802","Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
128997981,7250000000,"7,25 tỷ",161.11111,45,m²,3,,3,[],,,False,1,Hà Nội,Quận Đống Đa,Phường Láng Hạ,Phố Yên Lãng,"21.008863,105.81438","Phố Yên Lãng, Phường Láng Hạ, Quận Đống Đa, Hà Nội"
128997999,8800000000,"8,8 tỷ",231.57895,38,m²,4,,3,[2],,,False,1,Hà Nội,Quận Hà Đông,Phường La Khê,Ngõ 14 Phan Đình Giót,"20.967094,105.7651","Ngõ 14 Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội"
128998054,8000000000,8 tỷ,163.2653,49,m²,3,,3,[],,,,1,Hà Nội,Quận Đống Đa,Phường Láng Hạ,Láng Hạ,"21.015472,105.805145","Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội"
128998057,6900000000,"6,9 tỷ",75,92,m²,3,2,,[],,,,6,Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,Nhân Mỹ,"21.0192,105.77164","Nhân Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
128998119,3980000000,"3,98 tỷ",165.83333,24,m²,3,,3,[],,3,False,4,Hà Nội,Quận Hoàng Mai,Phường Tân Mai,Phố Tân Mai,"20.983627,105.84923","Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
128998144,6180000000,"6,18 tỷ",237.6923,26,m²,3,,3,[],9,3.4,False,1,Hà Nội,Quận Đống Đa,Phường Văn Miếu,Phố Tôn Đức Thắng,"21.030285,105.83599","Phố Tôn Đức Thắng, Phường Văn Miếu, Quận Đống Đa, Hà Nội"
128998190,2820000000,"2,82 tỷ",56.4,50,m²,2,1,,[],,,False,5,Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Phố Hào Nam,"21.02115,105.82598","Phố Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
128998203,9500000000,"9,5 tỷ",250,38,m²,4,6,3,[],,,True,1,Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Đường Nguyễn Văn Huyên,"21.039175,105.79776","Đường Nguyễn Văn Huyên, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
128998247,11500000000,"11,5 tỷ",239.58333,48,m²,3,4,3,[],,,True,1,Hà Nội,Quận Tây Hồ,Phường Bưởi,Đường Lạc Long Quân,"21.05682,105.80888","Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội"
